,DM hlswan if smthing is wrong,,,,,,,MINECRAFT 1.16+ RSG ANY% SUB-10 LEADERBOARD,,,,,,,,,OVERWORLD,,,,,FIRST STRUCTURE,,,,,SECOND STRUCTURE,,,,BLAZE RATES,,,,S2-E1,ALL RODS?,NETHER EXITS,OVERWORLD II,,,,,,,,,,,THEOR BLIND,NETHER SPLIT,TOTAL NETHER,TOTAL OW2,POST BLIND,STRUC2 TO FINISH,STRUC2 EX TO SH,STRONGHOLD,,,FRAMES FILLED,THE END,,,,,,,,,,,,Bastion Information,,,,Barter/Chest Loot Information,,,,,,TIMELOSS
,last updated 2/17/26,,,,,WR,PB,,,,,,,,,,TYPE,,PORTAL,NETHER,NE-S1,ENTER,TYPE,SPLIT,EXIT,S1-S2,ENTER,TYPE,SPLIT,EXIT,,DROPPED,KILLED,DECIMAL,,,,EXIT 1,TYPE,TRIANG,THROWN,BREAK,LEFT,T LOSS,REENTER,TO 2ND,DIST,EXIT 2,,,,,,,,ENTER,STRAT,SPLIT,,ENTER,STRAT,X USED,ZERO XPLOSIVES,PERCH XPLOSIVES,CG,NODE,TH,TOWER,SH,SPLIT,CREDITS,TYPE,ROUTE,CC,INFO,Obi,String,Glowst,Arrows,Pearls,Cobi,
,311,-,,🇳🇴,skycrab1,,🗙,9:18.430,9:18.430,22 Jul 2025,(U),unknown,,,https://www.youtube.com/watch?v=za-UzBn_QrM&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=134,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,312,-,,🇺🇸,Reignex,,🗙,9:18.705,9:18.705,14 Oct 2023,(U),unknown,12,Yes,https://www.youtube.com/watch?v=4FF1nTxjHGU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,313,-,,🇸🇰,NoFear1337,,🗙,9:16.999,9:18.825,30 Dec 2023,(U),unknown,,,https://www.youtube.com/watch?v=LBJgput7Jd4&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=2,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314,-,,🇸🇰,NoFear1337,,🗙,9:18.887,9:18.887,23 Jun 2024,(U),unknown,,,https://www.youtube.com/watch?v=07u83rRMp7g&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=10,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,315,-,,🇹🇷,ulsahin,,✔,9:11.907,9:18.901,22 Oct 2022,(V),-9175405862479286955,01,Yes,https://www.speedrun.com/mc/run/yw62x49m,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,316,-,,🇳🇴,skycrab1,,🗙,9:17.770,9:18.915,05 Jul 2024,(U),9011816872477408016,,,https://www.youtube.com/watch?v=LWG_qoaOPj0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=39,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,317,-,,🇩🇰,Bloopy,,🗙,9:18.948,9:19.201,15 May 2024,(U),-4253594903097616882,,,https://www.youtube.com/watch?v=phM9zY5QURA,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,318,-,,🇸🇰,NoFear1337,,🗙,9:20.067,9:20.067,17 Mar 2024,(U),unknown,,,https://www.youtube.com/watch?v=wx_CPxzxwnY&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=7,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,319,-,,🇩🇰,Bloopy,,🗙,9:20.313,9:20.313,14 Sep 2024,(U),1197606622777508367,,,https://www.youtube.com/watch?v=uvKQQ_wiAXU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320,-,,🇸🇰,NoFear1337,,✔,9:20.103,9:20.564,05 Nov 2022,(V),-04661894098057216280,,,https://www.speedrun.com/mc/runs/znq62l9z,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,321,-,,🇳🇴,skycrab1,,🗙,9:21.103,9:21.103,20 Sep 2025,(U),see video,,,https://www.youtube.com/watch?v=GHKDc6d-Fes&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=140,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,322,-,,🇺🇸,doogile,,🗙,9:20.519,9:21.114,10 Dec 2023,(U),-3029852224010085717,,,https://www.youtube.com/watch?v=ddJ5zdyslbw,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,323,-,,🇺🇸,doogile,,✔,9:18.601,9:21.223,31 Aug 2022,(V),-926914523663257060,,,https://www.speedrun.com/mc/runs/znq7rllz,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,324,-,,🇺🇸,doogile,,🗙,9:18.200,9:21.657,13 Oct 2023,(U),5505825860127473867,,,https://www.youtube.com/watch?v=ePu9GV9eOKA,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,325,-,,🇳🇴,skycrab1,,🗙,9:21.700,9:21.700,18 Nov 2024,(U),4892185153542737576,,,https://www.youtube.com/watch?v=ZDMheI2JkhE&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=95,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,326,-,,🇳🇴,skycrab1,,🗙,9:21.933,9:21.933,21 Oct 2024,(U),-5604599059233679142,,,https://www.youtube.com/watch?v=IfSVkk_BYyI&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=87,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,327,-,,🇸🇰,NoFear1337,,🗙,9:22.270,9:22.270,06 Dec 2023,(U),unknown,,,https://www.youtube.com/watch?v=4AiI-9WGRVg,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,328,-,,🇨🇦,Aquacorde,,🗙,9:22.481,9:22.481,26 May 2024,(U),2029778823013494560,,,https://www.youtube.com/watch?v=A__tIzZKmi4,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,329,-,,🇨🇦,Aquacorde,,🗙,9:22.502,9:22.502,07 Jun 2025,(U),-803046318085136033,,,https://www.youtube.com/watch?v=XDNtWhu2Vbk,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,330,-,,🇨🇦,Aquacorde,,🗙,9:22.630,9:22.919,24 Jun 2025,(U),-731369506168980347,,,https://www.youtube.com/watch?v=JWt0HXHpP90,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,331,-,,🇺🇸,meebie,,🗙,9:22.696,9:23.114,24 Dec 2023,(U),-915907836254045753,06,Yes,https://www.youtube.com/watch?v=Dr2HLNRqUNg,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,332,-,,🇸🇰,NoFear1337,,🗙,9:23.530,9:23.530,09 Sep 2024,(U),unknown,,,https://www.youtube.com/watch?v=LcP3_KsnQBU&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=13,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,333,-,,🇨🇦,Aquacorde,,🗙,9:22.799,9:23.620,20 Jun 2025,(U),-4713042810041071084,,,https://www.youtube.com/watch?v=tUPPN8xWm5Q,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,334,-,,🇳🇴,skycrab1,,🗙,9:23.687,9:23.687,03 Oct 2024,(U),-7384765236082352690,,,https://www.youtube.com/watch?v=F1V1bKWF_BA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=74,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,335,-,,🇳🇴,skycrab1,,🗙,9:23.710,9:23.710,05 Sep 2024,(U),9087246093674379559,,,https://www.youtube.com/watch?v=4u3juUdWOrY&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=64,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,336,-,,🇸🇰,NoFear1337,,✔,9:22.527,9:23.863,20 Aug 2022,(V),-6071912128039465735,,,https://www.speedrun.com/mc/runs/y4x2xndz,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,337,-,,🇩🇰,Bloopy,,🗙,9:23.928,9:23.928,28 Nov 2024,(U),-2126051371963399188,,,https://www.youtube.com/watch?v=Q0HBLIfoV5A,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,338,-,,🇺🇸,doogile,,🗙,9:23.427,9:24.091,02 Mar 2024,(U),-1696208169374363336,,,https://www.youtube.com/watch?v=dGmT4jJ31yM,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,339,-,,🇳🇴,skycrab1,,🗙,9:24.105,9:24.105,15 Jan 2025,(U),3842162755449251697,,,https://www.youtube.com/watch?v=XO9rgYbn6Bw&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=108,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,340,-,,🇺🇸,doogile,,🗙,9:22.116,9:24.247,24 Mar 2025,(U),-6047098650778031938,,,https://www.youtube.com/watch?v=NN8rfsl5mJo,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,341,-,,🇨🇦,Aquacorde,,🗙,9:24.529,9:24.529,18 Jul 2025,(U),-9197658143197340999,,,https://www.youtube.com/watch?v=LeAZ9kcT4ks,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,342,-,,🇵🇱,watermelon1708,,🗙,9:24.119,9:24.537,14 Sep 2025,(U),unknown,,,https://www.youtube.com/watch?v=Y6Sokcc9jqc,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,343,-,,🇸🇰,NoFear1337,,🗙,9:23.488,9:24.567,01 Jul 2023,(U),unknown,,,https://www.youtube.com/watch?v=PuoZym6BBOw,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344,-,,🇺🇸,doogile,,🗙,9:23.811,9:24.766,15 May 2023,(U),8584643897871750893,,,https://www.youtube.com/watch?v=JGxZAVwLpq0,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,345,-,,🇸🇰,NoFear1337,,🗙,9:25.453,9:25.453,01 Jul 2023,(U),unknown,,,https://www.youtube.com/watch?v=5J0MBJD0At4,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346,-,,🇨🇦,Aquacorde,,🗙,9:24.313,9:25.637,26 Sep 2024,(U),8823111015249469125,,,https://www.youtube.com/watch?v=9xLUevZxPBM,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,347,-,,🇺🇸,doogile,,🗙,9:26.244,9:26.244,08 Jul 2024,(U),-6098241121848454577,,,https://www.youtube.com/watch?v=yjRzgyThepc,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,348,-,,🇳🇴,skycrab1,,🗙,9:26.342,9:26.342,29 Nov 2024,(U),-573879670804358217,,,https://www.youtube.com/watch?v=ljKL-oDGeS4&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=100,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,-,,🇸🇰,NoFear1337,,🗙,9:25.778,9:26.417,11 Jun 2025,(U),unknown,,,https://www.youtube.com/watch?v=oA02Os8avDY,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,-,,🇨🇦,silverr,,🗙,9:26.582,9:26.582,20 Nov 2022,(U),1572653948546520317,15,No,https://www.youtube.com/watch?v=144OjtguCG0,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,351,-,,🇳🇴,skycrab1,,🗙,9:25.953,9:26.605,16 Jun 2024,(U),4052163355630291928,,,https://www.youtube.com/watch?v=5UOYqMnbR5Q&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=33,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,352,-,,🇬🇧,Kxpow,,🗙,9:23.950,9:27.626,29 Oct 2023,(U),-6876585563479815399,09,Yes,https://www.youtube.com/watch?v=cSA8vjfDlfU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,353,-,,🇺🇸,doogile,,🗙,9:27.915,9:27.915,24 Mar 2025,(U),-5268124447019689631,,,https://www.youtube.com/watch?v=uCE8j5wqBaA,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,354,-,,🇳🇴,skycrab1,,🗙,9:28.206,9:28.206,22 Jul 2025,(U),unknown,,,https://www.youtube.com/watch?v=ENH9wNoiQAo&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=135,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,355,-,,🇳🇴,skycrab1,,🗙,9:28.538,9:28.538,25 Dec 2025,(U),1919295731799192555,,,https://www.youtube.com/watch?v=1c-F687nKas&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=105,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,356,-,,🇨🇦,Aquacorde,,🗙,9:28.545,9:28.545,28 May 2025,(U),8276441451627221996,,,https://www.youtube.com/watch?v=qGEzygjg50o,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,357,-,,🇨🇦,Aquacorde,,🗙,9:28.680,9:28.680,25 Jun 2025,(U),-1610154249394651609,,,https://www.youtube.com/watch?v=SsOvlZxk2S0,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,358,-,,🇬🇧,priffie,,✔,9:28.626,9:29.199,08 Apr 2023,(V),-7240688859963036907,12,Yes,https://www.speedrun.com/mc/run/y804n81m,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,359,-,,🇺🇸,Zylenox,,🗙,9:23.337,9:29.349,21 Apr 2023,(U),-9047486339153673349,12,Yes,https://www.youtube.com/watch?v=YnxRG1jCZTA,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,360,-,,🇺🇸,doogile,,🗙,9:28.970,9:29.443,26 Apr 2024,(U),-2635465260695469451,,,https://docs.google.com/spreadsheets/d/1zgmOYJBULyHLqs9lGB6-cO4QhRoJdgOpd9WpUWpILYo/edit?gid=1452671563#gid=1452671563,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,361,-,,🇳🇴,skycrab1,,🗙,9:26.981,9:29.598,07 May 2024,(U),unknown,,,https://www.youtube.com/watch?v=HE41uYZ0V0c&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=18,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,362,-,,🇳🇴,skycrab1,,🗙,9:27.107,9:29.673,13 Aug 2024,(U),-3946489265844514970,,,https://www.youtube.com/watch?v=M5EHSGhejt8&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=52,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,363,-,,🇩🇰,Bloopy,,🗙,9:29.719,9:29.719,04 May 2024,(U),2537181557128625381,,,https://www.youtube.com/watch?v=rmm0JiGtxuA,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,364,-,,🇩🇰,Bloopy,,🗙,9:29.416,9:29.779,21 Sep 2024,(U),-4222360412448811712,,,https://www.youtube.com/watch?v=mWQwmeDz0b8,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,365,-,,🇸🇰,NoFear1337,,🗙,9:28.431,9:29.817,17 Jan 2024,(U),unknown,,,https://www.youtube.com/watch?v=2cTYxX1bq7o&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=4,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,366,-,,🇺🇸,doogile,,🗙,9:27.467,9:29.905,19 Oct 2022,(U),-6120632814765297894,,,https://www.youtube.com/watch?v=KngO-bBQ6z0,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,367,-,,🇳🇴,skycrab1,,🗙,9:29.936,9:29.936,24 Sep 2024,(U),-5978876616461348700,,,https://www.youtube.com/watch?v=lNwP-AfLpC4&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=73,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,368,-,,🇺🇸,Zylenox,,🗙,9:26.907,9:30.104,25 Sep 2023,(U),unknown,,,https://www.youtube.com/watch?v=-xiJj1JVujk,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,369,-,,🇵🇱,watermelon1708,,🗙,9:30.313,9:30.785,08 Nov 2025,(U),unknown,,,https://www.youtube.com/watch?v=Pm6Yt1efFdU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370,-,,🇺🇸,doogile,,🗙,9:30.866,9:30.866,14 Aug 2024,(U),-5785712557054868103,,,https://www.youtube.com/watch?v=IaJnBpkCYeE,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371,-,,🇩🇰,Bloopy,,🗙,9:30.985,9:30.985,23 Feb 2025,(U),4074137476637722037,,,https://www.youtube.com/watch?v=fidYadn3gaU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,372,-,,🇳🇴,skycrab1,,🗙,9:30.274,9:31.319,16 Jun 2024,(U),1613878261208097476,,,https://www.youtube.com/watch?v=8s8EV_O6Ndk&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=32,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,373,-,,🇺🇸,doogile,,🗙,9:29.751,9:32.126,10 May 2023,(U),1251289617466531900,,,https://www.youtube.com/watch?v=y6WViu7_6NI,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,374,-,,🇸🇰,NoFear1337,,🗙,8:32.422,8:32.422,14 Jul 2024,(U),unknown,,,https://www.youtube.com/watch?v=yw7-yaW4Nfk&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=21,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,375,-,,🇳🇴,skycrab1,,🗙,9:31.708,9:32.427,14 Jun 2024,(U),2235642990872806134,,,https://www.youtube.com/watch?v=TK7I7irT2Ig&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=30,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,376,-,,🇺🇸,doogile,,🗙,9:32.194,9:32.494,25 May 2025,(U),-1725089180716272190,,,https://www.youtube.com/watch?v=wXXYlwLqc64,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,377,-,,🇸🇰,NoFear1337,,🗙,9:32.897,9:32.897,15 Dec 2023,(U),unknown,,,https://www.youtube.com/watch?v=SROkWtFTBvE,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
